Save,noxycon,ntemp,ndensity,norif,nsernum,ninjpres,ninjdur,nfuelt,nfueltemp,ninst,fileBaseName,date,readme,refs,oxycon,oxyconU,ambComp,ambCompU,MW,Ta,TaS,TaU,Ta_ai,Tbulk,dens,densS,densU,dens_ai,densbulk,ambP,Z,ZU,ambVelocity,ambVelocityU,ambVelTurbulence,ambVelTurbulenceU,vessGeom,injP,injPS,injPU,Tfuel,TfuelS,TfuelU,Tnozzle,TnozzleS,TnozzleU,roi,roiS,roiU,injDur,injDurS,injDurU,injMass,injMassS,injMassU,Cd,CdU,Ca,CaU,orifDiam,orifDiamU,nozGeom,nozGeomU,needlePos,needlePosU,injlag,fuelprops,liqlen,liqlenS,liqlenU,liftoff,liftoffS,liftoffU,igndly,igndlyS,igndlyU,igndlyL,igndlyLS,igndlyLU,pressCV,jetpen,flamelength,spreadAngle,mixing,velocity,combSpecies,liqVol,dropDia,soot,movie,AddFiles
-,mole fraction %,K,kg/m3,mm,-,MPa,ms,-,K,-,-,-,-,-,mole fraction %,mole fraction %,mole fraction %,mole fraction %,-,K,K,K,K,K,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,MPa,-,-,m/s,m/s,m/s,m/s,-,MPa,MPa,MPa,K,K,K,K,K,K,mg/ms,mg/ms,mg/ms,ms,ms,ms,mg,mg,mg,-,-,-,-,mm,mm,-,-,mm,mm,ms,-,mm,mm,mm,mm,mm,mm,ms,ms,ms,ms,ms,ms,MPa,mm,mm,degrees,F/A ratio by number,m/s,-,liquid volume fraction,mm,-,-,-
-,vol%,K,kg/m<sup>3</sup>,mm,-,MPa,ms,-,K,-,-,-,-,-,%,%,%,%,-,K,K,K,K,K,kg/m<sup>3</sup>,kg/m<sup>3</sup>,kg/m<sup>3</sup>,kg/m<sup>3</sup>,kg/m<sup>3</sup>,MPa,-,-,m/s,m/s,m/s,m/s,-,MPa,MPa,MPa,K,K,K,K,K,K,mg/ms,mg/ms,mg/ms,ms,ms,ms,mg,mg,mg,-,-,-,-,mm,mm,-,-,mm,mm,ms,-,mm,mm,mm,mm,mm,mm,ms,ms,ms,ms,ms,ms,MPa,mm,mm,degrees,F/A ratio by number,m/s,-,liq vol fraction,mm,-,-,-
42,0,700,7.3,0.246-a,-,160,-,CET,436,Sandia,#bobcc-a.001-.002,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,692,-,-,-,-,7.4,1.49,1.004,-,-,-,-,-,-,164.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,0,1000,14.8,0.246-a,-,50,-,CET,436,Sandia,#bicic-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,50.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,0,1000,14.8,0.246-a,-,60,-,CET,436,Sandia,#bichc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,60.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,0,1000,14.8,0.246-a,-,90,-,CET,436,Sandia,#bicfc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,90.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,0,1000,14.8,0.246-a,-,170,-,CET,436,Sandia,#biccc-a.001-.002,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,172.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,0,1300,30,0.246-a,-,40,-,CET,436,Sandia,#bcdic-a.001-.004,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1227,-,-,-,-,31.8,11.57,1.023,-,-,-,-,-,-,52.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,0,1300,30,0.246-a,-,60,-,CET,436,Sandia,#bcdhc-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1227,-,-,-,-,31.8,11.57,1.023,-,-,-,-,-,-,66.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,0,1300,30,0.246-a,-,90,-,CET,436,Sandia,#bcdfc-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1227,-,-,-,-,31.8,11.57,1.023,-,-,-,-,-,-,97.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,0,1300,30,0.246-a,-,160,-,CET,436,Sandia,#bcdcc-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1227,-,-,-,-,31.8,11.57,1.023,-,-,-,-,-,-,170.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,0,1000,14.8,0.498-a,-,50,-,CET,436,Sandia,#bicif-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,50.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,0,1000,14.8,0.498-a,-,60,-,CET,436,Sandia,#bichf-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,61.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,0,1000,14.8,0.498-a,-,80,-,CET,436,Sandia,#bicff-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,88.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,0,1000,14.8,0.498-a,-,130,-,CET,436,Sandia,#bicdf-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,136.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,0,1000,14.8,0.498-a,-,160,-,CET,436,Sandia,#biccf-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,162.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,0,1300,30,0.498-a,-,40,-,CET,436,Sandia,#bcdif-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1227,-,-,-,-,31.8,11.57,1.023,-,-,-,-,-,-,52.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,0,1300,30,0.498-a,-,50,-,CET,436,Sandia,#bcdhf-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1227,-,-,-,-,31.8,11.57,1.023,-,-,-,-,-,-,65.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,0,1300,30,0.498-a,-,90,-,CET,436,Sandia,#bcdff-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1227,-,-,-,-,31.8,11.57,1.023,-,-,-,-,-,-,101.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,0,1300,30,0.498-a,-,140,-,CET,436,Sandia,#bcddf-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1227,-,-,-,-,31.8,11.57,1.023,-,-,-,-,-,-,146.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,0,1300,30,0.498-a,-,150,-,CET,436,Sandia,#bcdcf-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1227,-,-,-,-,31.8,11.57,1.023,-,-,-,-,-,-,160.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,0,700,7.3,0.251-a,-,140,-,CET,436,Sandia,#bobdj-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,692,-,-,-,-,7.4,1.49,1.004,-,-,-,-,-,-,139.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,0,1000,14.8,0.251-a,-,60,-,CET,436,Sandia,#bichj-a.001-.006,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,63.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,0,1000,14.8,0.251-a,-,130,-,CET,436,Sandia,#bicdj-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,138.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,0,1300,30,0.251-a,-,140,-,CET,436,Sandia,#bcddj-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1227,-,-,-,-,31.8,11.57,1.023,-,-,-,-,-,-,146.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,0,700,7.3,0.267-a,-,140,-,CET,436,Sandia,#bobdi-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,692,-,-,-,-,7.4,1.49,1.004,-,-,-,-,-,-,141.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,0,1000,14.8,0.267-a,-,60,-,CET,436,Sandia,#bichi-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,60.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,0,1000,14.8,0.267-a,-,130,-,CET,436,Sandia,#bicdi-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,137.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,0,1300,30,0.267-a,-,140,-,CET,436,Sandia,#bcddi-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1227,-,-,-,-,31.8,11.57,1.023,-,-,-,-,-,-,146.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,0,700,3.6,0.246-a,-,130,-,D2,436,Sandia,#boadc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,695,-,-,-,-,3.6,0.73,1.002,-,-,-,-,-,-,131.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,0,700,7.3,0.246-a,-,130,-,D2,436,Sandia,#bobdc-a.001-.008,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,692,-,-,-,-,7.4,1.49,1.004,-,-,-,-,-,-,134.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,0,700,14.8,0.246-a,-,130,-,D2,436,Sandia,#bocdc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,690,-,-,-,-,15,3.03,1.008,-,-,-,-,-,-,134.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,0,700,30,0.246-a,-,130,-,D2,436,Sandia,#boddc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,690,-,-,-,-,30.4,6.2,1.018,-,-,-,-,-,-,140.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,0,700,58.5,0.246-a,-,130,-,D2,436,Sandia,#boedc-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,693,-,-,-,-,59.1,12.34,1.039,-,-,-,-,-,-,146.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,0,850,3.6,0.246-a,-,140,-,D2,436,Sandia,#bladc-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,839,-,-,-,-,3.6,0.89,1.002,-,-,-,-,-,-,140.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,0,850,7.3,0.246-a,-,130,-,D2,436,Sandia,#blbdc-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,834,-,-,-,-,7.4,1.81,1.005,-,-,-,-,-,-,133.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,0,850,14.8,0.246-a,-,140,-,D2,436,Sandia,#blcdc-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,830,-,-,-,-,15.2,3.68,1.01,-,-,-,-,-,-,138.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,0,850,30,0.246-a,-,130,-,D2,436,Sandia,#blddc-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,827,-,-,-,-,30.8,7.54,1.021,-,-,-,-,-,-,136.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,0,850,58.5,0.246-a,-,130,-,D2,436,Sandia,#bledc-a.001-.002,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,824,-,-,-,-,60.3,15.05,1.044,-,-,-,-,-,-,148.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,0,1000,3.6,0.246-a,-,130,-,D2,436,Sandia,#biadc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,983,-,-,-,-,3.7,1.05,1.002,-,-,-,-,-,-,132.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,0,1000,7.3,0.246-a,-,140,-,D2,436,Sandia,#bibdc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,974,-,-,-,-,7.5,2.13,1.005,-,-,-,-,-,-,137.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,0,1000,14.8,0.246-a,-,140,-,D2,436,Sandia,#bicdc-a.001-.008,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,139.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,0,1000,30,0.246-a,-,140,-,D2,436,Sandia,#biddc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,962,-,-,-,-,31.2,8.89,1.022,-,-,-,-,-,-,143.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,0,1000,58.5,0.246-a,-,130,-,D2,436,Sandia,#biedc-a.001-.002,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,954,-,-,-,-,61.3,17.75,1.047,-,-,-,-,-,-,151.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,0,1150,3.6,0.246-a,-,140,-,D2,436,Sandia,#bfadc-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1126,-,-,-,-,3.7,1.2,1.002,-,-,-,-,-,-,136.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,0,1150,7.3,0.246-a,-,140,-,D2,436,Sandia,#bfbdc-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1113,-,-,-,-,7.5,2.45,1.005,-,-,-,-,-,-,137.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,0,1150,14.8,0.246-a,-,130,-,D2,436,Sandia,#bfcdc-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1103,-,-,-,-,15.4,4.99,1.011,-,-,-,-,-,-,134.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,0,1150,30,0.246-a,-,140,-,D2,436,Sandia,#bfddc-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1095,-,-,-,-,31.5,10.23,1.023,-,-,-,-,-,-,145.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,0,1150,58.5,0.246-a,-,130,-,D2,436,Sandia,#bfedc-a.001-.002,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1082,-,-,-,-,62.2,20.45,1.048,-,-,-,-,-,-,152.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,0,1300,3.6,0.246-a,-,130,-,D2,436,Sandia,#bcadc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1267,-,-,-,-,3.7,1.36,1.003,-,-,-,-,-,-,135.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
