oxycon,Ta,dens,injP,orifDiam,liftoff
13.05,897.5,22.86,50.0,0.894,15.37
13.11,899.2,22.82,100.0,0.894,18.45
13.09,900.7,22.78,150.0,0.894,20.58
14.94,749.9,22.8,50.0,0.894,30.84
14.97,750.8,22.78,100.0,0.894,39.7
14.97,752.5,22.72,150.0,0.894,46.03
14.93,801.2,22.77,50.0,0.894,20.25
14.97,806.4,22.62,100.0,0.894,24.75
15.01,810.8,22.5,150.0,0.894,28.35
15.06,850.4,22.79,50.0,0.894,15.59
14.84,846.5,22.89,100.0,0.894,20.18
14.91,847.8,22.86,150.0,0.894,22.8
15.09,897.2,22.87,30.0,0.894,11.51
15.12,897.8,22.86,50.0,0.894,12.95
15.01,898.6,22.83,75.0,0.894,14.54
15.13,900.4,22.79,100.0,0.894,15.92
15.07,899.9,22.8,125.0,0.894,17.01
15.06,899.9,22.8,150.0,0.894,17.73
15.04,898.8,15.22,50.0,0.894,18.94
15.02,899.4,15.21,100.0,0.894,23.49
15.05,901.9,15.17,150.0,0.894,27.94
15.13,901.1,7.59,50.0,0.894,40.13
15.04,903.3,7.57,100.0,0.894,56.02
15.02,904.1,7.57,150.0,0.894,69.35
21.0,750.2,22.77,50.0,0.894,25.66
21.0,751.4,22.76,100.0,0.894,34.7
20.98,753.1,22.7,150.0,0.894,39.59
20.98,805.7,22.64,50.0,0.894,14.75
20.97,808.2,22.57,100.0,0.894,18.92
20.94,807.7,22.58,150.0,0.894,22.23
20.94,900.7,22.78,50.0,0.894,9.3
21.06,901.3,22.77,100.0,0.894,11.29
21.0,905.0,22.67,150.0,0.894,12.61
15.0,880.2,23.26,151.2,0.0886,17.9
15.0,899.3,7.62,139.6,0.091,59.4
15.0,1097.5,7.62,142.4,0.091,22.9
15.0,901.7,15.24,142.8,0.091,24.6
13.0,905.7,23.04,158.8,0.091,20.4
21.0,906.4,22.79,150.8,0.091,9.9
15.0,903.9,22.92,153.5,0.091,16.1
15.0,747.2,22.9,143.9,0.091,46.5
15.0,807.8,22.8,146.0,0.091,27.1
15.0,853.7,22.86,149.2,0.091,20.6
15.0,1002.9,22.85,145.8,0.091,11.5
15.0,1114.1,22.78,140.7,0.091,8.3
15.0,1201.6,22.85,142.8,0.091,6.4
15.002,930.0,21.8,150.0,0.0886,14.5
15.0,997.7,22.78,151.2,0.091,18.3
15.0,995.8,22.83,149.9,0.091,18.5
15.0,998.7,22.71,154.2,0.091,21.0
15.0,990.4,22.78,153.9,0.091,17.7
15.0,997.5,22.79,149.1,0.091,18.9
15.0,900.5,22.79,151.8,0.091,27.0
15.0,898.7,22.85,150.2,0.091,28.1
15.0,911.0,22.7,152.1,0.091,30.7
15.0,901.0,22.73,154.6,0.091,23.1
